site_description,site,unit,unitclass,commodity_group,commodity_description,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
"Louisville, KY",SPLV,CWT,Weight,1VNL,LVP,20.1,18.12,13.79,10.27,10.27,8.09,7.33,7.33,7.33,7.33
"Louisville, KY",SPLV,CWT,Weight,1VNL,VCT,20.1,18.12,13.79,10.27,10.27,8.09,7.33,7.33,7.33,7.33
"Louisville, KY",SPLV,SQYD,Area,1CBL,Carpet Roll,0.3966,0.3844,0.3761,0.3679,0.3596,0.3596,0.3596,0.3596,0.3596,0.3596
"Louisville, KY",SPLV,SQYD,Area,1CPT,Carpet Tile,0.6745,0.6535,0.6394,0.6254,0.6113,0.6113,0.6113,0.6113,0.6113,0.6113
ProSpectra Poway,PSP,CWT,Weight,1VNL,LVT,44.19,35.79,30.64,25.63,25.63,22.08,18.27,18.27,18.27,18.27
ProSpectra Poway,PSP,CWT,Weight,1VNL,LVP,44.19,35.79,30.64,25.63,25.63,22.08,18.27,18.27,18.27,18.27
ProSpectra Poway,PSP,CWT,Weight,1VNL,VCT,44.19,35.79,30.64,25.63,25.63,22.08,18.27,18.27,18.27,18.27
ProSpectra Poway,PSP,SQYD,Area,1CBL,Carpet Roll,0.7828,0.7655,0.7584,0.7422,0.7098,0.7098,0.7098,0.7098,0.7098,0.7098
ProSpectra Poway,PSP,SQYD,Area,1CPT,Carpet Tile,1.3307,1.3031,1.2893,1.2617,1.2066,1.2066,1.2066,1.2066,1.2066,1.2066
Floor Sol Greensboro,FSG,CWT,Weight,1VNL,LVT,18.69,17.03,13.21,10.62,10.62,6.82,6.94,6.94,6.94,6.94
Floor Sol Greensboro,FSG,CWT,Weight,1VNL,LVP,18.69,17.03,13.21,10.62,10.62,6.82,6.94,6.94,6.94,6.94
Floor Sol Greensboro,FSG,CWT,Weight,1VNL,VCT,18.69,17.03,13.21,10.62,10.62,6.82,6.94,6.94,6.94,6.94
