po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code
35106,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",209134-003,Interface Open Air 420 (1475402500) tufted Textured Loop 50cm x 50cm - Iron (107058),1CPT,Carpet Tile,23.92,SQYD,150.38,Carpet_Tile_1CPT_SQYD
35106,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,102775,"Interface Americas, Inc.",209134-003,Interface Open Air 420 (1475402500) tufted Textured Loop 50cm x 50cm - Iron (107058),1CPT,Carpet Tile,83,SQYD,150.38,Carpet_Tile_1CPT_SQYD
35428,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",178606-006,Shaw Contract Bevel Hexagon (5T057) Multi Level Pattern Cut/Loop 28.8 in x 24.9in - Tweed (55530),1CPT,Carpet Tile,4.99,SQYD,8.16,Carpet_Tile_1CPT_SQYD
35447,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",204296-007,Shaw Patcraft Surface Striation (I0552) Multi Level Pattern Loop 24in x 24in - Meteorite (00550),1CPT,Carpet Tile,20,SQYD,950.21,Carpet_Tile_1CPT_SQYD
35447,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",204296-007,Shaw Patcraft Surface Striation (I0552) Multi Level Pattern Loop 24in x 24in - Meteorite (00550),1CPT,Carpet Tile,20,SQYD,950.21,Carpet_Tile_1CPT_SQYD
35447,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",204296-007,Shaw Patcraft Surface Striation (I0552) Multi Level Pattern Loop 24in x 24in - Meteorite (00550),1CPT,Carpet Tile,9,SQYD,950.21,Carpet_Tile_1CPT_SQYD
35447,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",204296-007,Shaw Patcraft Surface Striation (I0552) Multi Level Pattern Loop 24in x 24in - Meteorite (00550),1CPT,Carpet Tile,20,SQYD,950.21,Carpet_Tile_1CPT_SQYD
35447,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",204296-007,Shaw Patcraft Surface Striation (I0552) Multi Level Pattern Loop 24in x 24in - Meteorite (00550),1CPT,Carpet Tile,20,SQYD,950.21,Carpet_Tile_1CPT_SQYD
35447,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",204296-007,Shaw Patcraft Surface Striation (I0552) Multi Level Pattern Loop 24in x 24in - Meteorite (00550),1CPT,Carpet Tile,20,SQYD,950.21,Carpet_Tile_1CPT_SQYD
35568,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",174903-018,Shaw Tile Dye Lab (5T041) Undefined 24in x 24in - Fustic Saxon (41396),1CPT,Carpet Tile,26.66,SQYD,554.57,Carpet_Tile_1CPT_SQYD
35568,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",188633-018,Shaw Contract Rethread 18x36 (5T165) Undefined 18in x 36in - Umber (64855),1CPT,Carpet Tile,8,SQYD,554.57,Carpet_Tile_1CPT_SQYD
35568,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",188633-005,Shaw Contract Rethread 18x36 (5T165) Undefined 18in x 36in - Heritage Blue (64481),1CPT,Carpet Tile,13,SQYD,554.57,Carpet_Tile_1CPT_SQYD
35568,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",175048-006,Shaw Tile Bon Jour II (5T032) Needlebond 24in x 24in - Charcoal (31549),1CPT,Carpet Tile,5.33,SQYD,554.57,Carpet_Tile_1CPT_SQYD
35568,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",1000005784,Shaw Centered Tile (5T492)Pattern Loop 18in x 36in - Bubbly (90100),1CPT,Carpet Tile,119,SQYD,554.57,Carpet_Tile_1CPT_SQYD
35568,2008,Received Not Yet Invoiced,SPJ,Spectra Jacksonville,103423,"Shaw Industries, Inc.",208277-002,Shaw Contract Translate Tile (5T408) Multi Level Pattern Loop 9in x 36in - Connection (05105),1CPT,Carpet Tile,170,SQYD,554.57,Carpet_Tile_1CPT_SQYD
35781,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",180378-001,Shaw Contract Field (5T079) Multi Level Pattern Loop 24in x 24in - Sight (78111),1CPT,Carpet Tile,126,SQYD,1046.08,Carpet_Tile_1CPT_SQYD
35781,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",180712-001,Shaw Contract Realm EW24 (5T078) Undefined 24in x 24in - Sight (78111),1CPT,Carpet Tile,10,SQYD,1046.08,Carpet_Tile_1CPT_SQYD
35930,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,1000005739,Mohawk  Counter Casual (GT352) 24in x 24in EcoFlex ONE - Stone Wash (727),1CPT,Carpet Tile,56,SQYD,52.64,Carpet_Tile_1CPT_SQYD
