site,new_commodity_group,min of xgs_rate,mean of xgs_rate,median of xgs_rate,<lambda_0> of xgs_rate,max of xgs_rate,min of historical_rate,mean of historical_rate,median of historical_rate,<lambda_0> of historical_rate,max of historical_rate
FSG,1CPT, 2.3591 , 5.5481 , 2.3986 , 2.3986 , 132.3011 , 0.4289 , 2.8700 , 1.0655 , 0.4289 , 78.8925 
FSG,1VNL, 0.0682 , 0.3097 , 0.1703 , 0.1703 , 2.9639 , 0.0087 , 0.2316 , 0.1149 , 0.0208 , 1.5842 
FSU,1CBL, 0.6620 , 3.1197 , 1.4109 , 1.4109 , 41.0133 , 0.0450 , 0.8094 , 0.6196 , 0.6196 , 3.4035 
FSU,1CPT, 0.1851 , 4.6644 , 2.3986 , 11.5422 , 55.4234 , 0.2209 , 1.6841 , 0.8913 , 0.8918 , 49.5000 
FSU,1VNL, 0.0526 , 0.6855 , 0.1703 , 1.7122 , 76.8952 , 0.0040 , 0.3289 , 0.1161 , 0.0763 , 11.9364 
KFC,1CBL, 0.6396 , 3.3645 , 1.8698 , 2.8048 , 31.5140 , 0.3130 , 2.1417 , 0.9653 , 2.1535 , 19.5618 
KFC,1CPT, 1.0229 , 3.2227 , 1.2606 , 1.5582 , 56.0950 , 0.1113 , 2.4381 , 1.2916 , 0.4070 , 75.0000 
KFC,1VNL, 0.0691 , 4.2280 , 0.2149 , 0.1360 , 92.9421 , 0.0082 , 1.8388 , 0.1825 , 0.0635 , 72.4132 
PSC,1CBL, 0.8086 , 2.6445 , 2.0551 , 0.8086 , 5.6593 , 1.1307 , 15.0597 , 4.1440 , 1.1307 , 50.8200 
PSC,1CPT, 1.2968 , 2.4082 , 1.4368 , 4.7319 , 18.1777 , 0.4932 , 2.8101 , 2.0614 , 0.4932 , 8.3612 
PSC,1VNL, 0.1719 , 1.3863 , 0.2412 , 0.2412 , 21.8207 , 0.0044 , 1.3473 , 0.2563 , 0.0044 , 22.4556 
PSLV,1CBL, 1.1411 , 1.1411 , 1.1411 , 1.1411 , 1.1411 , 2.0334 , 2.0334 , 2.0334 , 2.0334 , 2.0334 
PSLV,1CPT, 1.8045 , 2.3463 , 1.9783 , 1.8045 , 4.3600 , 1.1778 , 2.0454 , 1.8912 , 1.1778 , 3.1973 
PSLV,1VNL, 0.2047 , 1.1620 , 0.3858 , 0.2047 , 6.0137 , 0.0036 , 0.4802 , 0.1692 , 0.0036 , 2.0828 
PSP,1CBL, 0.8425 , 1.4080 , 1.4360 , 0.8425 , 1.9174 , 1.2000 , 2.2713 , 1.8601 , 1.2000 , 4.1652 
PSP,1CPT, 1.3404 , 2.5937 , 1.4782 , 1.5750 , 18.9270 , 0.5297 , 2.9787 , 1.5500 , 0.5297 , 12.4707 
PSP,1VNL, 0.1827 , 0.7348 , 0.3321 , 0.1827 , 7.2775 , 0.0080 , 0.6987 , 0.1369 , 0.0080 , 7.4892 
PSS,1CBL, 0.9798 , 0.9798 , 0.9798 , 0.9798 , 0.9798 , 0.9919 , 0.9919 , 0.9919 , 0.9919 , 0.9919 
PSUC,1CBL, 0.9005 , 3.4361 , 1.2015 , 0.9005 , 14.2309 , 0.7000 , 2.3270 , 1.0670 , 0.7000 , 9.4018 
PSUC,1CPT, 1.5905 , 1.8833 , 1.6652 , 1.5905 , 4.7460 , 0.9774 , 2.6768 , 2.0361 , 0.9774 , 5.9454 
