site_description,site,unit,unitclass,commodity_group,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M,source,statistic,metric
SPT,SPT,SQYD,Area,1CPT,1.0067175550264156,0.849355497458268,0.8353590335655177,0.800865596763604,0.6077256785749549,,,,,,georgia_historical_xgs_wavg,0.9023720313412552,weighted average
SPT,SPT,SQYD,Area,1CPT,2.3726799106186247,0.8493588014079593,0.835359913616037,0.8213617319851265,0.607725678574955,,,,,,georgia_historical_xgs_q3,1.7108375888338,Q3
SPT,SPT,SQYD,Area,1CPT,1.49989119151112,1.1022843865565326,1.252125,1.461368226260399,1.5544614356575577,,,,,,recommended_median,1.4740519482269896,median
SPT,SPT,SQYD,Area,1CPT,1.5602779486643115,1.2190054032864819,1.265415214179259,1.3771376611036736,1.5544614356575577,,,,,,recommended_wavg,1.3964280004573357,weighted average
SPT,SPT,SQYD,Area,1CPT,2.606656657608692,1.4656983568646476,1.4820218639575957,1.5198390477966768,2.0598419145444633,,,,,,recommended_q3,2.3070730207016767,Q3
SPT,SPT,SQYD,Area,1CPT,,,,,,,,,,,recommended_min,1.3964280004573357,unknown
SPT,SPT,SQYD,Area,1CPT,,,,,,,,,,,recommended_middle,1.4740519482269896,unknown
SPT,SPT,SQYD,Area,1CPT,,,,,,,,,,,recommended_max,2.3070730207016767,unknown
Longwood,SPW,SQYD,Area,1CPT,0.8536875,0.8331367924528301,0.8194733490566039,0.8058099056603774,0.771595754716981,0.771595754716981,0.771595754716981,0.771595754716981,0.771595754716981,0.771595754716981,vendor,,baseline
SPW,SPW,SQYD,Area,1CPT,1.403939189347175,1.0034337268021831,1.019666824303945,0.993677638222797,0.539625828986268,0.61857603147027,,,,,georgia_historical_market_median,1.3806397727272701,median
SPW,SPW,SQYD,Area,1CPT,1.6013653288080114,1.0127711162662814,1.0762062625511633,0.9026822389521673,0.6788726150635258,0.656590765602758,,,,,georgia_historical_market_wavg,1.0393517215367258,weighted average
SPW,SPW,SQYD,Area,1CPT,3.0351744659543973,1.1786174354963026,1.3806655138934125,1.0510584775868899,0.9536931643780915,0.859559754865565,,,,,georgia_historical_market_q3,2.3936390756645225,Q3
SPW,SPW,SQYD,Area,1CPT,1.41493333333333,1.00696444117056,1.019666824303945,0.993677638222797,0.539625828986268,0.61857603147027,,,,,all_states_historical_market_median,1.3809634342351949,median
SPW,SPW,SQYD,Area,1CPT,1.6251113427593207,1.0762775363956252,1.0762062625511633,0.9026822389521673,0.6788726150635258,0.656590765602758,,,,,all_states_historical_market_wavg,1.0594644226224164,weighted average
SPW,SPW,SQYD,Area,1CPT,3.2129829984544,1.3190770221159651,1.3806655138934125,1.0510584775868899,0.9536931643780915,0.859559754865565,,,,,all_states_historical_market_q3,2.663413396709815,Q3
SPW,SPW,SQYD,Area,1CPT,0.853736940798285,0.833136216688144,0.8194750307752601,0.805808555431047,0.519058502070869,0.407181041781255,,,,,georgia_historical_xgs_median,0.85370083907561,median
SPW,SPW,SQYD,Area,1CPT,0.9896563206986869,0.8331365534044901,0.8194742937447828,0.7900899414521212,0.5284250290367765,0.405915955776015,,,,,georgia_historical_xgs_wavg,0.7425901646783151,weighted average
SPW,SPW,SQYD,Area,1CPT,1.9241255917398674,0.8331395902909174,0.8194758281141608,0.8058093467720683,0.6277618033977185,0.4200968956134655,,,,,georgia_historical_xgs_q3,1.6380349281320075,Q3
