site_description,site,site_description,unit,unitclass,freightclass,oldfreightclass,commodity_group,commodity_description,origin,origin_zip,destination,destination_zip,minimum_charge,ftl_flat_rate,old_discount,new_discount,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
Spectra Cincinnati,DCN,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,OH,45215,57.33,1363.39,0.7795,0.7995,0.4367,0.4231,0.414,0.4049,0.3958,0.4367,0.4231,0.414,0.4049,0.3958
Spectra Cincinnati,DCN,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,OH,45215,57.33,1363.39,0.7795,0.7995,0.7424,0.7193,0.7038,0.6884,0.6729,0.7424,0.7193,0.7038,0.6884,0.6729
Spectra Columbus,SPC,,CWT,Weight,70,40,1VNL,LVT,GA,30720,OH,43228,101.96,1471.41,0.7795,0.7995,25.09,20.64,15.51,12.33,8.74,8.74,6.36,6.36,6.36,6.36
Spectra Columbus,SPC,,CWT,Weight,70,40,1VNL,LVP,GA,30720,OH,43228,101.96,1471.41,0.7795,0.7995,25.09,20.64,15.51,12.33,8.74,8.74,6.36,6.36,6.36,6.36
Spectra Columbus,SPC,,CWT,Weight,70,40,1VNL,VCT,GA,30720,OH,43228,101.96,1471.41,0.7795,0.7995,25.09,20.64,15.51,12.33,8.74,8.74,6.36,6.36,6.36,6.36
Spectra Columbus,SPC,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,OH,43228,57.33,1471.41,0.7795,0.7995,0.4366,0.4284,0.4162,0.408,0.3999,0.4366,0.4284,0.4162,0.408,0.3999
Spectra Columbus,SPC,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,OH,43228,57.33,1471.41,0.7795,0.7995,0.7422,0.7283,0.7075,0.6937,0.6798,0.7422,0.7283,0.7075,0.6937,0.6798
ProSpectra Cerritos,PSC,,CWT,Weight,70,40,1VNL,LVT,GA,30720,CA,90703,135.07,4320,0.7795,0.7995,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
ProSpectra Cerritos,PSC,,CWT,Weight,70,40,1VNL,LVP,GA,30720,CA,90703,135.07,4320,0.7795,0.7995,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
ProSpectra Cerritos,PSC,,CWT,Weight,70,40,1VNL,VCT,GA,30720,CA,90703,135.07,4320,0.7795,0.7995,41.6,33.7,28.7,24.13,20.98,20.98,17.19,17.19,17.19,17.19
ProSpectra Cerritos,PSC,,SQYD,Area,150,10,1CBL,Carpet Roll,GA,30720,CA,90703,84.89,4320,0.7795,0.7995,0.7608,0.7443,0.7279,0.7114,0.6867,0.7608,0.7443,0.7279,0.7114,0.6867
